"ocid","id","rationale","budget_id","budget_description","budget_amount","budget_currency"
"ocds-5wno2w-RE-PU-EPAAGE-MEJIA-2025-07-384004","RE-PU-EPAAGE-MEJIA-2025-07-384004-2025-10-16T20:09:54.539Z-compiled","MANTENIMIENTO DEL CHASIS Y MÓDULO DELHIDROSUCCIONADOR VACTOR","6.3.04.04","","3590.78","USD"
"ocds-5wno2w-RE-PU-HE-1-2025-131-43246","RE-PU-HE-1-2025-131-43246-2025-10-09T19:38:29.648Z-compiled","ADQUISICIÓN DE SETS DEFACOEMULSIFICADOR PARA EQUIPO MARCA OPTIKON A UTILIZARSE EN LAESPECIALIDAD DE OFTALMOLOGÍA DEL HE1","2025.074.0000.0000.90.00.000.001.000.1701.530826.000000.002.0000.0000-","","26950.00","USD"
"ocds-5wno2w-RE-PU-HEJCA-2025-292-87497","RE-PU-HEJCA-2025-292-87497-2025-10-13T19:44:36.410Z-compiled","ADQUISICIÓN DE FACTOR DE COAGULACION IX, II,VII y X EN COMBINACION COMPLEJO DE PROTROMBINA HUMANA SOLIDO PARENTERAL Factor II 280 -760 UI, VII 180 - 480 UI, IX 500 UI,  X 360 - 600 UI, proteína C 260 - 620 UI y proteína S 240 - 640 UI","530809","","35092.40","USD"
"ocds-5wno2w-RE-PU-CONGOPE-2025-010-69008","RE-PU-CONGOPE-2025-010-69008-2025-10-14T20:04:53.433Z-compiled","SERVICIO DE ORGANIZACIÓN Y REALIZACIÓN DE LA XXX EDICIÓN DEL SALÓN DEL CHOCOLATE PARIS QUE SE LLEVARÁ A CABO DEL 29 DE OCTUBRE AL 2 DE NOVIEMBRE DE 2025, EN EL PARQUE DE EXPOSICIONES DE LA PORTE DE VERSAILLES, EN PARIS FRANCIA","01.02.01.003.010.001.7.73.02.49.000.99.99.99.99.17","","64962.00","USD"
"ocds-5wno2w-RE-PU-GADM-C-2025-002-55680","RE-PU-GADM-C-2025-002-55680-2025-10-15T20:15:48.654Z-compiled","ADQUISICION DE DIESELPREMIUM PARA EL PARQUE AUTOMOTOR DEL GAD MUNICIPAL DE CASCALES","7.3.02.55","","50752.99","USD"
"ocds-5wno2w-RE-PU-GADPE-2025-02-32109","RE-PU-GADPE-2025-02-32109-2025-10-16T20:09:53.772Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO DE LAS MAQUINARIAS DE LAS MARCAS HYUNDAI Y DAEWOO","73.04.04-73.04.05","","601013.28","USD"
"ocds-5wno2w-RE-PU-HCAM-2025-034-54651","RE-PU-HCAM-2025-034-54651-2025-10-16T20:11:39.773Z-compiled","Adquisición del dispositivo médico: Kit paracolocar anillos para Femto","530826","","44089.50","USD"
"ocds-5wno2w-RE-PU-HCAM-2025-038-54651","RE-PU-HCAM-2025-038-54651-2025-10-16T20:09:54.034Z-compiled","ADQUISICIÓN DE REPUESTOS PARA LOS MONITORES NIHON KOHDEN DEL HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARÍN","530813","","368900.73","USD"
"ocds-5wno2w-RE-PU-ISSPOL-2025-01-3201","RE-PU-ISSPOL-2025-01-3201-2025-10-16T20:11:38.336Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO DE LOS ASCENSORES MARCA MITSUBISHI INSTALADOS EN EL EDIFICIO MATRIZ ISSPOL.","5.3.04.02.001","","12893.52","USD"
"ocds-5wno2w-RE-PU-CNELEP-2025-13-462114","RE-PU-CNELEP-2025-13-462114-2025-10-13T19:39:39.641Z-compiled","GYE IMPLEMENTACIÓN DE EQUIPAMIENTO TERMOGRÁFICO EN CAMIONETAS CON DETECCIÓN AUTOMÁTICA DE ELEMENTOSELÉCTRICOS EN LAS REDES DE ALTO Y MEDIO VOLTAJE DE CNEL GYE GD","121020600000000","","2400000.00","USD"
"ocds-5wno2w-RE-PU-HEJCA-2025-322-87497","RE-PU-HEJCA-2025-322-87497-2025-10-17T19:48:18.638Z-compiled","ADQUISICIÓN DE RITUXIMAB LIQUIDO PARENTERAL 1400 MG/11,7 ML","530809","","477624.00","USD"
"ocds-5wno2w-RE-PU-HGIIIDE-TARQUI2025-006-88080","RE-PU-HGIIIDE-TARQUI2025-006-88080-2025-10-17T19:48:20.174Z-compiled","?ADQUISICIÓN DE REPUESTOS PARA EL EQUIPODE QUÍMICA SANGUÍNEA ERBA XL 300, del área de Laboratorio clínico delHOSPITAL BÁSICO H.G III DE ?TARQUI?","2025.070.1058.0000.86.00.000.003.000.0101.531404.000000.002.0000.0000-","","1739.13","USD"
"ocds-5wno2w-RE-PU-IGM-2025-008-36136","RE-PU-IGM-2025-008-36136-2025-10-17T19:48:15.757Z","CONTRATACIÓN  DEL SERVICIO DE MANTENIMIENTO DE EQUIPOS DE IMPRESIÓN DIGITAL","2025.072.0000.0000.86.00.000.003.000.1701.530704.000000.002.0000.0000-","","149850.00","USD"
"ocds-5wno2w-RE-PU-EPMAPAPED-1360067110001-2025-00001-359079","RE-PU-EPMAPAPED-1360067110001-2025-00001-359079-2025-03-26T11:44:54.612Z-compiled","ALQUILER DE LICENCIA DE USO DE SOFTWARE INFORMÁTICO ORIENTADO A LA ORGANIZACIÓN, GESTIÓN, RECAUDO Y MANEJO DE LOS SERVICIOS QUE OFRECE LA EMPRESA PÚBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE PEDERNALES EPMAPA-PED","6.3.07.02","","10379.52","USD"
"ocds-5wno2w-RE-PU-UEA-2025-001-124342","RE-PU-UEA-2025-001-124342-2025-03-12T12:06:57.209Z-compiled","CONTRATACIÓN DE LICENCIAS PARA EL SISTEMA DE SUPERVISIÓN DE EXAMENES EN LÍNEA PROCTORIZER","2025.185.0000.0000.82.00.000.001.000.1601.530702.000000.001.0000.0000-","","71100.00","USD"
"ocds-5wno2w-RE-PU-CBCO-2025-001-67609","RE-PU-CBCO-2025-001-67609-2025-02-13T11:34:14.989Z-compiled","MANTENIMIENTO DE LOS MÓDULOS DEL SISTEMA DEGESTIÓN EMPRESARIAL ERP OLYMPO DEL CUERPO DE BOMBEROS DEL CANTÓN OTAVALOPARA EL AÑO 2025","01.01.001.002.530701.000.10.002","","8387.50","USD"
"ocds-5wno2w-RE-PU-GADMCG-2025-001-79685","RE-PU-GADMCG-2025-001-79685-2025-03-06T11:58:14.116Z-compiled","MANTENIMIENTO PREVENTIVO Y PROGRAMADO DE DOS CAMIONETAS CHEVROLET D-MAXCRDI PREMIER PERTENECIENTES AL GOBIERNO AUTÓNOMO DESCENTRALIZADOMUNICIPAL DEL CANTÓN GUAMOTE","5.3.04.05-5.3.08.03-5.3.08.13","","9491.78","USD"
"ocds-5wno2w-RE-PU-ATV-2025-001-767154","RE-PU-ATV-2025-001-767154-2025-02-13T11:34:17.158Z-compiled","MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS CAMIONETAS DE LA EMPRESA PÚBLICA MUNICIPAL DE TRÁNSITO, MOVILIDAD Y VIGILANCIA CIUDADANA DE SAMBORONDÓN POR APLICACIÓN DEL PRINCIPIO DE VIGENCIA TECNOLÓGICA","530813","","18153.59","USD"
"ocds-5wno2w-RE-PU-UNADE-2025-01-1141362","RE-PU-UNADE-2025-01-1141362-2025-02-15T11:47:35.207Z-compiled","Contratación del servicio de internet para la Unidad Nacional Antidopaje del Ecuador - UNADE","2025.631.9999.0000.01.00.000.001.000.0901.530105.000000.001.0000.0000-","","2480.00","USD"
"ocds-5wno2w-RE-PU-GADM-IBARRA-2025-001-2783","RE-PU-GADM-IBARRA-2025-001-2783-2025-02-27T11:02:17.942Z-compiled","ADQUISICION E INSTALACION DE REPUESTOS Y LUBRICANTES PARA MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE DOS VOLQUETAS TIPO BAÑERA DE 30 M3 DE ACUERDO AL PRINCIPIO DE VIGENCIA TECNOLOGICA","730813","","30000.00","USD"
"ocds-5wno2w-RE-PU-EMSAAIRPORTSERVICESCEM-2025-001-154897","RE-PU-EMSAAIRPORTSERVICESCEM-2025-001-154897-2025-02-19T10:56:33.002Z-compiled","?ADQUISICIÓN DEL EQUIPAMIENTO DE VIDEOVIGILANCIA, QUE INCLUYE: CÁMARAS, GRABADOR, SOFTWARE DE MONITOREO Y CONTROL DE VIDEO, CON GARANTÍA DE FÁBRICA E IMPLEMENTACIÓN, CONFIGURACIÓN Y CAPACITACIÓN PARA GSE-UIO DE EMSAAIRPORT SERVICES CEM?","ACTIVO","","36250.00","USD"
"ocds-5wno2w-RE-PU-SENAEDDQ-2025-0001-122700","RE-PU-SENAEDDQ-2025-0001-122700-2025-03-21T12:02:51.302Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO, CORRECTIVO Y SOPORTE TÉCNICO PARA DOS EQUIPOS DE RAYOS X MARCA SMITHS HEIMANN HS-9075, DE PROPIEDAD DEL SENAE","2025.136.0002.0000.01.00.000.001.000.1701.530404.000000.002.0000.0000-","","16000.00","USD"
"ocds-5wno2w-RE-PU-SEGURAEP-2025-001-1159262","RE-PU-SEGURAEP-2025-001-1159262-2025-04-12T13:19:15.143Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE CAMIONETAS DE SEGURA EP","530405","","410767.24","USD"
"ocds-5wno2w-RE-PU-EPMSA-2025-01-259318","RE-PU-EPMSA-2025-01-259318-2025-06-05T15:43:33.442Z-compiled","CONTRATO SOPORTE  ESPECIALIZADO CGWEB","530701","","19734.00","USD"
"ocds-5wno2w-RE-PU-BCE-2025-001-2457","RE-PU-BCE-2025-001-2457-2025-04-30T12:29:18.494Z-compiled","IMPLANTACION MANTENIMIENTO Y SOPORTE TECNICO DE SOFTWARE ESPECIALIZADO PARA EL DEPOSITO CENTRALIZADO DE VALORES E INFRAESTRUCTURA DE HARDWARE Y SOFTWARE BASE","191205184500412205412210","","2411089.52","USD"
"ocds-5wno2w-RE-PU-DMG-Z8-2025-001-387997","RE-PU-DMG-Z8-2025-001-387997-2025-04-04T12:51:59.551Z-compiled","MANTENIMIENTO A LOS 46 VEHÍCULOS TIPO CAMIONETAS MARCA GREAT WALL MODELO WINGLE 7 4X4 A DIÉSEL, PERTENECIENTES AL DISTRITO METROPOLITANO DE GUAYAQUIL ZONA 8 DE LA POLICÍA NACIONAL","2025.052.0085.0000.01.00.000.001.000.0901.530405.000000.001.0000.0000-","","81139.79","USD"
"ocds-5wno2w-RE-PU-FONAG-2025-001-227909","RE-PU-FONAG-2025-001-227909-2025-02-22T11:01:45.928Z-compiled","Contratación del servicio de soporte técnico del sistema de control presupuestario del FONAG","1.01.08-ACTGST2025007T002","","4800.00","USD"
"ocds-5wno2w-RE-PU-EPFLP-2025-001-404551","RE-PU-EPFLP-2025-001-404551-2025-06-13T16:09:46.072Z-compiled","CONTRATACIÓN DE PLATAFORMAGETABSTRACT","5.2.2.08.03","","65000.00","USD"
"ocds-5wno2w-RE-PU-SZB-2025-0004-125978","RE-PU-SZB-2025-0004-125978-2025-03-25T11:42:16.413Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO CORRECTIVO CON APROVISIONAMIENTO DE REPUESTOS, ACCESORIOS, LUBRICANTES, INSUMOS Y MANO DE OBRA PARA LOS VEHÍCULOS MARCA KIA DE LA SUBZONA BOLÍVAR QUE CUENTAN CON VIGENCIA TECNOLÓGICA","2025.052.0032.0000.01.00.000.001.000.0201.530204.000000.001.0000.0000-","","45000.00","USD"
"ocds-5wno2w-RE-PU-HEEE-2025-001-52558","RE-PU-HEEE-2025-001-52558-2025-03-26T11:44:57.506Z-compiled","ADQUISICIÓN DE REPUESTOS TUBO DE RX PARA TOMÓGRAFO DE 64 CORTES MARCA:SIEMENS MODELO: SOMATON DEFINITION AS DEL HOSPITAL DE ESPECIALIDADESEUGENIO ESPEJO","2025.320.1420.0000.57.00.000.001.000.1701.530813.000000.001.0000.0000-","","168067.00","USD"
"ocds-5wno2w-RE-PU-14D04SALUD-2025-1-13011","RE-PU-14D04SALUD-2025-1-13011-2025-09-17T19:06:46.234Z-compiled","ADQUISICIÓN DE REACTIVOS PARA EL EQUIPO CONTADOR HEMATOLÓGICO DEL LABORATORIO DEL CENTRO DE SALUD DE SAN JUAN BOSCO DEL DISTRITO 14D04 GUALAQUIZA SAN JUAN BOSCO SALUD","2025.320.1361.0000.90.00.000.001.000.1402.530502.000000.001.0000.0000-","","9105.00","USD"
"ocds-5wno2w-RE-PU-ULEAM-2025-001-8514","RE-PU-ULEAM-2025-001-8514-2025-03-18T12:19:20.773Z-compiled","ADQUISICIÓN DE 10.000 LICENCIAS PARA CURSOS DE IDIOMAS A TRAVÉS DE LA PLATAFORMA ROSETTA STONE, DIRIGIDO A LA COMUNIDAD UNIVERSITARIA DE LA ULEAM.","2025.174.9999.0000.82.00.000.001.000.1308.530702.000000.003.0000.0000-","","1250000.00","USD"
"ocds-5wno2w-RE-PU-HGMYM-2025-001-82169","RE-PU-HGMYM-2025-001-82169-2025-05-13T12:38:52.057Z-compiled","ADQUISICIÓN DEL MEDICAMENTO JUDICIALIZADO OSIMERTINIB SÓLIDO ORAL 80 MG CJ X BLISTES/RIST PARA EL H.G.M.Y.M.","530809","","108000.00","USD"
"ocds-5wno2w-RE-PU-GADMEP-2025-01-36452","RE-PU-GADMEP-2025-01-36452-2025-06-11T15:48:07.824Z-compiled","CONTRATACIÓN DEL SERVICIO DE UN TALLER EXTERNO PARA MANTENIMIENTO PREVENTIVO INCLUIDO REPUESTOS PARA LAS CAMIONETAS CHEVROLET D-MAX ZMA-1074, ZMA-1075 Y ZMA-1076","7.3.04.05-7.3.08.13","","22053.30","USD"
"ocds-5wno2w-RE-PU-CCPD-SD-2025-001-530465","RE-PU-CCPD-SD-2025-001-530465-2025-03-16T12:30:52.169Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO POR VIGENCIA TECNOLÓGICA DE CAMIONETA DOBLE CABINA 4X4 MARCA GREAT WALL PLACA TMA 1144","730405","","1986.10","USD"
"ocds-5wno2w-RE-PU-GADCM-2025-001-21126","RE-PU-GADCM-2025-001-21126-2025-04-15T12:50:25.418Z-compiled","MANTENIMIENTO DE LA MAQUINARIA PESADA ADQUIRIDA POR EL GAD MUNICIPAL DEL CANTÓN MOCACHE","7.3.04.04","","27836.01","USD"
"ocds-5wno2w-RE-PU-EPCH-2025-0001-329706","RE-PU-EPCH-2025-0001-329706-2025-08-12T22:25:33.288Z-compiled","RENOVACION LICENCIA DE USO DEL SISTEMA GUBWIN AÑO 2025 DE LA EMPRESA PÚBLICA DEL COMPLEJO TURÍSTICO DE CHACHIMBIRO","53.07.01","","2000.00","USD"
"ocds-5wno2w-RE-PU-UNADE-2025-03-1141362","RE-PU-UNADE-2025-03-1141362-2025-02-18T10:52:34.031Z-compiled","Adquisición de Kits que permitan recolectar muestras biológicas para procesos de Control de Antidopaje","2025.631.9999.0000.01.00.000.001.000.0901.530810.000000.001.0000.0000-","","20000.00","USD"
"ocds-5wno2w-RE-PU-HPDA-2025-001-2728","RE-PU-HPDA-2025-001-2728-2025-09-15T19:14:25.764Z-compiled","ADQUISICIÓN Y PUESTA EN MARCHA DE LOS REPUESTOS EN EL EQUIPO BIOMÉDICO: TOMOGRAFO MARCA: CANON, MODELO: TSX-303B/5C, SERIE: 5CA22Y28657 PARA EL AREA DE IMAGEN DEL HOSPITAL GENERAL DOCENTE AMBATO","2025.320.1460.0000.57.00.000.001.000.1801.530813.000000.001.0000.0000-","","183061.04","USD"
"ocds-5wno2w-RE-PU-SZX-2025-01-179100","RE-PU-SZX-2025-01-179100-2025-03-16T12:31:08.140Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS VEHÍCULOSPOLICIALES MARCA CHEVROLET QUE SE ENCUENTRAN BAJO GARANTÍA TÉCNICA DEFABRICA ASIGNADOS A LA SUBZONA COTOPAXI","2025.052.0033.0000.01.00.000.001.000.0501.530301.000000.001.0000.0000-","","7193.96","USD"
"ocds-5wno2w-RE-PU-FONAG-2025-002-227909","RE-PU-FONAG-2025-002-227909-2025-03-19T12:12:34.194Z-compiled","CONTRATACIÓN DEL SERVICIO DE SOPORTE TÉCNICO DEL SISTEMA DE EVALUACIÓN DEL PROGRAMA DE EDUCACIÓN AMBIENTAL – FONAG Y LA SUSCRIPCIÓN ANUAL A ATUK CLOUD","10104-ACTPEA2025009T001-Contratacion-de-soporte-de","","7955.60","USD"
"ocds-5wno2w-RE-PU-GADECP-2025-0001-157749","RE-PU-GADECP-2025-0001-157749-2025-03-16T12:30:50.621Z-compiled","REPARACIÓN Y MANTENIMIENTO DEL TRACTOR AGRÍCOLA DEL GAD PARROQUIAL EL CARMEN DE PIJILI","730404","","10000.00","USD"
"ocds-5wno2w-RE-PU-UNAE-2025-001-607247","RE-PU-UNAE-2025-001-607247-2025-03-26T11:44:59.432Z-compiled","SUSCRIPCIÓN A PLATAFORMAS DIGITALES POR MEDIO DE PROQUEST: PROQUEST CENTRAL + PRISMA PARA LA UNIVERSIDAD NACIONAL DE EDUCACIÓN","2025.088.9999.0000.83.00.000.002.000.0301.530702.000000.002.7001.0003-","","9082.25","USD"
"ocds-5wno2w-RE-PU-GADMCNJ-2025-001-67188","RE-PU-GADMCNJ-2025-001-67188-2025-04-12T13:19:17.791Z-compiled","SERVICIOS DE MANTENIMIENTO CORRECTIVO INCLUIDO REPUESTOS PARA LA EXCAVADORA 320D2L","730404","","29952.00","USD"
"ocds-5wno2w-RE-PU-EMACEP-2025-00001-284319","RE-PU-EMACEP-2025-00001-284319-2025-06-11T15:48:09.886Z-compiled","MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LA PLANTA DE ESTERILIZACIÓN","73.04.04","","435727.54","USD"
"ocds-5wno2w-RE-PU-EEASA-2025-001-3233","RE-PU-EEASA-2025-001-3233-2025-03-16T12:31:09.440Z-compiled","SERVICIOS M2M ADVANCED Y PORTADOR PARA EL SISTEMA DE TELEMEDICIÓN DE LA EEASA","5210206010204091104","","99384.00","USD"
"ocds-5wno2w-RE-PU-EPMMM-2025-001-585764","RE-PU-EPMMM-2025-001-585764-2025-03-16T12:30:51.508Z-compiled","MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE CINCO CAMIONETAS, DEL ÁREA DE CONTROL Y VIGILANCIA, DE LA EMPRESA PÚBLICA MUNICIPAL DE MOVILIDAD DE MACHALA, EN TALLER AUTORIZADO","53.04.05,53.08.13,53.08.03","","66805.75","USD"
"ocds-5wno2w-RE-PU-COGUAR-2025-00001-25964","RE-PU-COGUAR-2025-00001-25964-2025-08-12T22:25:34.124Z-compiled","SERVICIO DE MANTENIMIENTO INTEGRAL DE LOS GENERADORES 1 Y 3 CATERPILLAR C6.6 DE LA LANCHA GUARDACOSTAS ISLA SAN CRISTÓBAL INCLUYE INSTALACIÓN DE REPUESTOS.","2025.070.3011.0000.91.00.000.003.000.0901.530405.000000.001.0000.0000-","","71625.70","USD"
"ocds-5wno2w-RE-PU-HVCM-2025-001-12070","RE-PU-HVCM-2025-001-12070-2025-03-26T11:44:59.592Z-compiled","ADQUISICIÓN DE ?FIBRINÓGENO HUMANO FACTOR I SÓLIDO PARENTERAL 1 000 MG CAJA X VIAL + DISOLVENTE + EQUIPO DE TRANSFERENCIA?","2025.320.1000.0000.90.00.000.004.000.0101.530805.000000.002.0000.0000-","","12220.00","USD"
"ocds-5wno2w-RE-PU-CBVENTANAS-2025-0001-102024","RE-PU-CBVENTANAS-2025-0001-102024-2025-03-13T12:00:06.495Z-compiled","CONTRATACIÒN DEL SERVICIO DE ABASTECIMIENTO DE COMBUSTIBLE PARA LOS VEHICULOS DEL CUERPO DE BOMBEROS DE VENTANAS","530255","","15000.00","USD"
"ocds-5wno2w-RE-PU-ATV-2025-002-767154","RE-PU-ATV-2025-002-767154-2025-03-21T12:02:53.778Z-compiled","MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS CAMIONETAS DE LA EMPRESA PÚBLICA MUNICIPAL DE TRÁNSITO, MOVILIDAD Y VIGILANCIA CIUDADANA DE SAMBORONDÓN POR APLICACIÓN DEL PRINCIPIO DE VIGENCIA TECNOLÓGICA","530405","","18153.59","USD"
"ocds-5wno2w-RE-PU-GADMCM_-2025-01-60535","RE-PU-GADMCM_-2025-01-60535-2025-08-12T22:26:32.814Z-compiled","ADQUISICIÓN DE REPUESTOS PARA EL MANTENIMIENTO PREVENTIVO, CON EL FIN DE CUBRIR LA GARANTÍA TÉCNICA DEL NUEVO EQUIPO CAMINERO MARCA, KOMATSU Y HAMM","73.361.04.04","","57699.13","USD"
"ocds-5wno2w-RE-PU-SETEGISPDZ4-2025-001-753800","RE-PU-SETEGISPDZ4-2025-001-753800-2025-08-12T22:25:34.438Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE UNIDADES DE SUMINISTRO DE POTENCIA ININTERRUMPIDO UPS DE LOS BIENES ADMINISTRADOS POR LA DIRECCIÓN ZONAL ZONA 4 – SECRETARIA TÉCNICA DE GESTIÓN INMOBILIARIA DEL SECTOR PÚBLICO","2025.067.4000.0000.57.00.000.004.000.1301.530813.000000.001.0000.0000-","","39000.00","USD"
"ocds-5wno2w-RE-PU-RMPT-2025-00001-441952","RE-PU-RMPT-2025-00001-441952-2025-03-08T12:17:40.863Z-compiled","CONTRATACIÓN DEL SERVICIO DEMANTENIMIENTO DEL SISTEMA CONTABLE FINANCIERO OLYMPO V12.0 PARA ELREGISTRO MUNICIPAL DE LA PROPIEDAD DEL CANTON TULCAN,","530701","","6000.00","USD"
"ocds-5wno2w-RE-PU-SETEGISPDZ4-2025-002-753800","RE-PU-SETEGISPDZ4-2025-002-753800-2025-05-14T12:47:37.517Z-compiled","SERVICIO DE MANTENIMIENTO DE ASCENSORES MITSUBISHI UBICADOS EN EL CENTRO DE ATENCIÓN CIUDADANA DE PORTOVIEJO, ADMINISTRADO POR LA DIRECCIÓN ZONAL ZONA 4, SECRETARÍA TÉCNICA DE GESTIÓN INMOBILIARIA DEL SECTOR PÚBLICO","2025.067.4000.0000.57.00.000.001.000.1308.530402.000000.002.0000.0000-","","9825.70","USD"
"ocds-5wno2w-RE-PU-HGFO-2025-0001-54538","RE-PU-HGFO-2025-0001-54538-2025-09-24T18:48:39.385Z-compiled","ADQUISICIÓN DE SETS PARA EQUIPOS DE BOMBAS DE INFUSIÓN PARA EL HOSPITAL GENERAL FRANCISCO DE ORELLANA","2025.320.1540.0000.90.00.000.004.000.2201.530826.000000.001.0000.0000-","","35390.00","USD"
"ocds-5wno2w-RE-PU-GADMEP-2025-002-36452","RE-PU-GADMEP-2025-002-36452-2025-03-16T12:31:09.393Z-compiled","DESARROLLO E IMPLEMENTACIÓN DE UN MÓDULO DE WEB SERVICES EN EL SISTEMA DE CAJA ÚNICA SEYCOB PARA FACILITAR YOPTIMIZAR EL COBRO POR LOS SERVICIOS OFRECIDOS POR EL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL GADM DE EL PANGUI, A TRAVÉS DE CONVENIOS","5.3.07.01","","16750.00","USD"
"ocds-5wno2w-RE-PU-JZOEG-2025-001-186102","RE-PU-JZOEG-2025-001-186102-2025-04-01T11:58:26.097Z-compiled","MANTENIMIENTO PREVENTIVO Y CORRECTIVO, CAMBIO DE REPUESTOS YLUBRICANTES DE LOS VEHÍCULOS MARCA GREAT WALL CON GARANTÍADE FABRICA DE LA JEFATURA ZONAL DE OPERACIONES ESPECIALESGUAYAS","2025.052.0076.0000.01.00.000.001.000.0901.530405.000000.001.0000.0000-","","15000.00","USD"
"ocds-5wno2w-RE-PU-HEJCA-2025-018-87497","RE-PU-HEJCA-2025-018-87497-2025-04-02T12:01:24.983Z-compiled","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO-CORRECTIVO Y ADQUISICIÓN DE REPUESTOS PARA EQUIPOS DE LA MARCA DRAGER, KARL STORZ, VALLEYLAB-MEDTRONIC","530404","","354979.69","USD"
"ocds-5wno2w-RE-PU-GADMCG-2025-002-79685","RE-PU-GADMCG-2025-002-79685-2025-04-04T12:52:02.288Z-compiled","MANTENIMIENTO PREVENTIVO Y PROGRAMADO DE UNAEXCAVADORA PC210LC-10M0 KOMATSU PERTENECIENTE AL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN GUAMOTE","7.3.08.13-7.3.08.03-7.3.04.04","","8343.57","USD"
"ocds-5wno2w-RE-PU-MDMQ-2025-1503-41357","RE-PU-MDMQ-2025-1503-41357-2025-04-09T12:54:41.718Z-compiled","RENOVACION DE SOPORTE Y GARANTIA TECNICA CON PROVISION DE REPUESTOS DEL SISTEMA DE ENERGIA ININTERRUMPIDA UPS DEL IMP AÑO 2025","530813-530404","","17369.00","USD"
"ocds-5wno2w-RE-PU-CRCG-2025-001-97147","RE-PU-CRCG-2025-001-97147-2025-04-15T12:50:30.976Z-compiled","ADQUISICIÓN DE CONSUMIBLES PARA IMPRESORAS DE CÉDULA MARCA FARGO","530807","","300850.00","USD"
"ocds-5wno2w-RE-PU-ACTEP-2025-001-702285","RE-PU-ACTEP-2025-001-702285-2025-03-22T12:40:18.604Z-compiled","?CONTRATACIÓN PARA SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO POR VIGENCIA TECNOLOGICA PARA LOS VEHICULOS MARCA GREATWALL DE LA EMOVIM-EP?","530405","","47832.64","USD"
"ocds-5wno2w-RE-PU-EPMMOP-2025-03-741823","RE-PU-EPMMOP-2025-03-741823-2025-05-02T12:28:51.301Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE 76 VEHÍCULOS CON VIGENCIA TECNOLOGICA","530405","","121090.37","USD"
"ocds-5wno2w-RE-PU-SZZCH-2025-004-178816","RE-PU-SZZCH-2025-004-178816-2025-03-27T11:46:22.785Z-compiled","CONTRATACIÓN DE UNA ESTACIÓN DE SERVICIO PARA EL ABASTECIMIENTO DE COMBUSTIBLE ECO PAIS, PARA VEHÍCULOS DEL CIRCUITO EL PANGUI, TUNDAYME Y VEHÍCULOS QUE SE ENCUENTREN DE COMISIÓN Y SEAN ASIGNADOS POR NECESIDAD DEL SERVICIO A LA SUBZONA ZAMORA","2025.052.0044.0000.01.00.000.001.000.1901.530204.000000.001.0000.0000-","","9885.00","USD"
"ocds-5wno2w-RE-PU-RPMC-2025-01-412649","RE-PU-RPMC-2025-01-412649-2025-03-29T11:51:07.786Z-compiled","LICENCIAMIENTO DEL USO DEL SISTEMA REGISTRAL PARA EL REGISTRO DE LA PROPIEDAD Y MERCANTIL DEL CANTÓN CAYAMBE","530702","","19692.36","USD"
"ocds-5wno2w-RE-PU-SZT-2025-001-98040","RE-PU-SZT-2025-001-98040-2025-04-05T13:12:38.456Z-compiled","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA LOS VEHÍCULOSMARCA CHEVROLET QUE SE ENCUENTRAN BAJO GARANTÍA TÉCNICA DE FÁBRICAASIGNADOS A LA SUBZONA TUNGURAHUA","2025.052.0035.0000.01.00.000.001.000.1801.530405.000000.001.0000.0000-","","29245.18","USD"
"ocds-5wno2w-RE-PU-HEJCA-2025-049-87497","RE-PU-HEJCA-2025-049-87497-2025-03-22T12:40:18.154Z-compiled","ADQUISICIÓN DE REACTIVOS PARA QUÍMICA SANGUÍNEA, INMUNOLOGÍA, MARCADORES TUMORALES","530810","","332722.62","USD"
